K,extreme_client_number,TD_RMSE,Outlier_RMSE,ODPPTD_RMSE,AN_RMSE
1000,0,3.291649063,15187.76982,2.998075209,2.769631614
1000,2,3.291649063,15908.0203,3.11897212,638.7953061
1000,4,3.291649063,15286.11906,2.967414876,548.2102065
1000,6,3.291649063,16326.04887,2.692368145,922.6210388
1000,8,3.291649063,15881.62684,3.195361733,1080.475085
1000,10,3.291649063,16151.28815,3.400320869,1483.761581
1000,12,3.291649063,16682.40236,3.100771474,1485.361622
1000,14,3.291649063,15944.7047,2.921373395,584.7543283
1000,16,3.291649063,16337.11538,4.013283461,1668.741462
1000,18,3.291649063,15830.61838,3.614321346,1989.550961
K,extreme_client_number,TD_RMSE,Outlier_RMSE,ODPPTD_RMSE,AN_RMSE
1000,0,3.259171718,14661.85843,3.813704113,3.693456659
1000,2,3.259171718,15734.69965,3.814573483,669.0628599
1000,4,3.259171718,15864.89135,4.386336753,734.8167026
1000,6,3.259171718,15200.92232,4.094618631,931.6335743
1000,8,3.259171718,15454.53066,3.952864054,1158.730724
1000,10,3.259171718,14757.99833,4.101071434,1500.67033
1000,12,3.259171718,15082.03454,3.899064985,1159.443763
1000,14,3.259171718,14597.02065,3.507505055,1305.567288
1000,16,3.259171718,14877.57762,3.743800097,1327.420182
1000,18,3.259171718,15360.22956,3.489528246,1451.204077
