K,ODPPTD_one_client_time,ODPPTD_index_edge_time,ODPPTD_aggregation_and_upload_edge_time,ODPPTD_cloud_server_aggreate_time,ODPPTD_cloud_server_generate_hash_noise_time,all_edge_add_cloud,cloud_server_detection_extreme_data_time,one_client_time,cloud_server_aggreate_time,cloud_server_detection_extreme_data_time
200,0.8735955,6.1724,115.10701,3.9347,165.6995,1382.4283,1.401,44.6983375,104.296,1.4771
400,1.77405175,11.9536,230.69552,8.0549,624.187,3058.7331,2.8223,90.52422875,474.2285,2.8575
600,2.511316333,19.0991,351.31676,13.5699,1411.2178,5128.9463,4.5078,132.2212043,1199.1733,4.712
800,3.326770625,24.4602,496.82951,17.7317,2502.3927,7733.0215,5.8234,177.9203311,2326.9313,7.4753
1000,4.4112496,30.2204,633.07302,23.2544,3907.0075,10563.1961,7.3892,220.6314326,4400.2788,9.1954
1200,5.228447333,36.1629,783.73261,28.5385,5596.795,13824.2886,8.7927,264.2627781,7658.0365,12.1541
1400,6.165039214,42.5645,970.85345,38.531,7637.9049,17810.6154,10.6285,303.2763954,10926.0732,14.068
1600,6.963915562,47.8192,1156.5885,40.8608,9927.4276,22012.3654,12.0911,354.3882641,15948.7485,17.9389
1800,7.902446333,54.2607,1354.51396,54.9823,12607.302,26750.0309,13.6398,394.4958328,21355.7949,23.3473
2000,8.77269105,59.7619,1651.73048,53.4637,15499.2509,32667.6384,15.4172,439.9058631,27216.4733,24.9916
2200,9.608114591,65.7974,2006.79768,68.2568,18758.7755,39552.9831,17.2105,481.4468976,33733.8518,29.2105
2400,10.51880783,71.6458,2298.0656,66.3282,22371.8297,46135.2719,23.0027,533.8956619,42277.4342,44.795
2600,11.65309512,82.1663,2601.61662,65.2425,26322.1381,53225.2098,30.9072,577.4461476,51996.6339,47.2458
2800,13.219489,83.4341,2731.27298,78.0988,30545.0258,58770.1954,30.5648,614.3016565,61866.7308,54.6318
3000,18.70606347,120.5164,3537.16527,78.1865,34909.9108,71564.914,33.7727,667.6062227,75978.8257,66.0628
3200,13.46669663,101.6278,4083.16457,82.0807,39758.5594,81688.5638,39.6301,712.6586222,98403.8398,113.582
3400,14.36139871,111.1936,4813.18322,90.7642,45073.6357,94408.1681,42.2577,761.6860321,144403.5721,303.6822
3600,17.92931961,180.7654,4251.90644,95.2643,50503.4111,94925.3938,44.8048,811.5175709,199281.2294,601.2481
3800,16.37837071,157.3822,11667.91493,110.4959,55854.8673,174218.3345,58.0551,855.974501,294002.902,1963.7713
4000,17.82821213,161.03,54351.39027,136.0626,62194.9628,607455.2281,69.952,937.4571653,440391.8616,2423.194
K,ODPPTD_one_client_time,ODPPTD_index_edge_time,ODPPTD_aggregation_and_upload_edge_time,ODPPTD_cloud_server_aggreate_time,ODPPTD_cloud_server_generate_hash_noise_time,all_edge_add_cloud,cloud_server_detection_extreme_data_time,one_client_time,cloud_server_aggreate_time,cloud_server_detection_extreme_data_time
200,0.8969935,15.6488,118.4035,6.6526,162.7502,1509.9258,1.8987,45.91078,123.627,1.4944
400,1.81472325,11.5773,234.52567,7.9841,623.3274,3092.3412,3.2764,92.48416775,481.0865,2.9417
600,2.534408333,17.4878,353.42111,13.6805,1429.0193,5151.7889,4.3505,132.5747033,1224.7312,4.7594
800,3.35948525,22.9445,501.34371,17.8186,2507.797,7768.4977,5.9361,180.6772355,2377.9537,7.4257
1000,4.4298617,28.6473,641.90703,23.2195,3902.192,10630.9548,7.4436,224.7367797,4412.0951,9.235
1200,5.281712,34.9211,788.28788,28.7223,5636.8749,13897.687,8.9489,265.0457648,7852.051,12.023
1400,6.193662857,40.3808,977.57486,34.6691,7670.349,17884.5747,10.4759,314.2561661,11296.296,13.4997
1600,7.006254312,45.4961,1169.83107,42.4327,9899.6726,22095.377,12.2446,360.2531304,16237.7235,19.8824
1800,7.959974778,51.6121,1368.36988,54.1521,12590.4548,26844.4267,14.0431,404.6179767,22187.636,22.1697
2000,8.82466095,56.5704,1652.32559,54.2687,15558.5712,32701.7998,15.332,444.7191027,27563.224,25.096
2200,9.643498636,63.6939,2021.19004,67.7093,18811.3503,39727.899,17.3272,496.7096058,38833.0345,28.9474
2400,10.83481937,72.5584,2400.85832,68.2184,22577.295,47379.6806,18.8444,558.7570309,48830.7869,43.903
2600,12.01643065,91.8306,2727.19585,68.6297,26794.3641,55053.2583,32.3137,593.8387093,61710.3506,49.0987
2800,14.63489721,85.2796,2831.86264,86.389,31169.4889,60427.3003,32.5526,670.3126167,62890.5191,49.6048
3000,12.6965565,87.7702,3286.98204,79.6309,34991.1822,68818.3355,35.6401,712.766373,90300.6133,80.3172
3200,14.36266884,102.7193,4376.08847,87.3361,40519.2047,85394.6185,42.4144,744.7566874,110586.4223,107.8332
3400,15.00778621,113.1502,5315.51233,89.8011,45726.0736,100102.5,41.5352,797.5889881,225105.9489,254.9096
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,3.9347,165.6995,169.6342,0.001,0.1696342,,,
,,,8.0549,624.187,632.2419,0.001,0.6322419,,,
,,,13.5699,1411.2178,1424.7877,0.001,1.4247877,,,
,,,17.7317,2502.3927,2520.1244,0.001,2.5201244,,,
,,,23.2544,3907.0075,3930.2619,0.001,3.9302619,,,
,,,28.5385,5596.795,5625.3335,0.001,5.6253335,,,
,,,38.531,7637.9049,7676.4359,0.001,7.6764359,,,
,,,40.8608,9927.4276,9968.2884,0.001,9.9682884,,,
,,,54.9823,12607.302,12662.2843,0.001,12.6622843,,,
,,,53.4637,15499.2509,15552.7146,0.001,15.5527146,,,
,,,68.2568,18758.7755,18827.0323,0.001,18.8270323,,,
,,,66.3282,22371.8297,22438.1579,0.001,22.4381579,,,
,,,65.2425,26322.1381,26387.3806,0.001,26.3873806,,,
,,,78.0988,30545.0258,30623.1246,0.001,30.6231246,,,
,,,78.1865,34909.9108,34988.0973,0.001,34.9880973,,,
,,,82.0807,39758.5594,39840.6401,0.001,39.8406401,,,
,,,90.7642,45073.6357,45164.3999,0.001,45.1643999,,,
,,,95.2643,50503.4111,50598.6754,0.001,50.5986754,,,
,,,110.4959,55854.8673,55965.3632,0.001,55.9653632,,,
,,,136.0626,62194.9628,62331.0254,0.001,62.3310254,,,
