K,miss_rate,TD_RMSE,Outlier_RMSE,ODPPTD_RMSE,AN_RMSE,AN_RMSE_WithOD
1000,0,3.167055785,3.167055785,3.167055785,3.167055785,3.09623
1000,0.02,3.167055785,3.167055785,3.13692806,577.1201935,687.71639
1000,0.04,3.167055785,3.167055785,3.179321996,837.1122058,914.0484
1000,0.06,3.167055785,3.167055785,3.231579314,940.959007,1066.20222
1000,0.08,3.167055785,3.167055785,3.243100956,1180.989258,1149.1322
1000,0.1,3.167055785,3.167055785,3.272400065,1065.672418,1524.73022
1000,0.12,3.167055785,3.167055785,3.284915542,1297.755868,1561.26223
1000,0.14,3.167055785,3.167055785,3.32522563,1394.133909,1598.10506
1000,0.16,3.167055785,3.167055785,3.528902515,1812.569541,1754.16121
1000,0.18,3.167055785,3.167055785,3.582059426,1461.879391,1676.05963
1000,0.2,3.167055785,3.167055785,3.27185978,1912.207946,1773.16763
